combined_FIPS,NAMELSAD,year,pct_developed_2004,pct_suburban_2004,pct_forest_2004,pct_undeveloped_2004,pct_agri_2004
47131,Obion County,2004,0.05821252881295411,0.05456464144410685,0.2804926337670287,0.28475455985921105,0.6568671272488451
21035,Calloway County,2004,0.07715463110796979,0.07222867816957214,0.4316699827898167,0.43954303312126375,0.4825107935526272
51003,Albemarle County,2004,0.07419070618198881,0.068521711315782,0.6913172560870158,0.7154302351852467,0.2094897856447446
47147,Robertson County,2004,0.07745745355030689,0.07188254014895186,0.3133339619455695,0.3180317419941481,0.6040978208352795
51043,Clarke County,2004,0.06247083401428321,0.0596334881632862,0.38889162362735274,0.3922212224018398,0.5450736311922957
53023,Garfield County,2004,0.025427259931904454,0.025028193824843236,0.19787516860053972,0.6411911536433855,0.33337963021830286
21109,Jackson County,2004,0.058718042946103506,0.057255112224959985,0.7666359421093112,0.7878971349852302,0.15215985605645285
27031,Cook County,2004,0.017404139739089743,0.016585402712688106,0.898124389205201,0.9812496308629426,0.0002336174283862153
45073,Oconee County,2004,0.120923542024275,0.11325099133320815,0.6797059040200022,0.7409749766948766,0.135077769598598
22033,East Baton Rouge Parish,2004,0.3450933452543713,0.25521168404853173,0.35368676757119843,0.4351283645813285,0.21466839756866035
28021,Claiborne County,2004,0.029148258560934236,0.027858436468913065,0.824458009443878,0.8690554544633293,0.10078321381507722
24037,St. Mary's County,2004,0.13883371976026948,0.12466764853133461,0.6003908015807049,0.6347774521097939,0.2237562642479743
26081,Kent County,2004,0.2844080592441183,0.21096603683309886,0.35479299791936036,0.36918863191230883,0.342131365906966
37147,Pitt County,2004,0.09904270178562538,0.08583026253024181,0.43019475217909686,0.4957408500953765,0.404376985225346
30009,Carbon County,2004,0.008458966146330993,0.008255487026425664,0.15129520394627405,0.9108296844157546,0.06836915385412344
31167,Stanton County,2004,0.03676870176362072,0.03559734112507484,0.04502183913368052,0.3252564686807246,0.6374322020199066
13001,Appling County,2004,0.06318787291842781,0.05692024435817678,0.5921028153716942,0.7057326504873759,0.23031551532162975
19099,Jasper County,2004,0.057126928080282476,0.05288455582081302,0.06051301111698807,0.07813436640792151,0.8643122286868803
28153,Wayne County,2004,0.04835444629283296,0.046668509314844855,0.6974048797456801,0.8685705355390004,0.08180884333357442
48101,Cottle County,2004,0.01583188951920122,0.015707720861144348,0.021583366335717346,0.8482863375528825,0.1334755231568763
51081,Greensville County,2004,0.03783066821548322,0.03564161138121248,0.6628546478031166,0.7712682759765135,0.18935223925214287
12105,Polk County,2004,0.1612306102091582,0.13881091795107967,0.3283487498388502,0.5308591879723495,0.286004857882041
48503,Young County,2004,0.03371152394674153,0.030873772177490946,0.11979377190550196,0.8443890560697742,0.12126440125024271
1123,Tallapoosa County,2004,0.05781519497630966,0.05537877884457837,0.7408896166789312,0.8744523396090682,0.06607797113336494
33015,Rockingham County,2004,0.18962503504415315,0.14023747215174592,0.7034960346480669,0.7527853242569392,0.0491411314098375
8105,Rio Grande County,2004,0.01843817290861338,0.016026193742741553,0.3807775714170168,0.8129438049295635,0.16159459216110586
19149,Plymouth County,2004,0.048476725017345276,0.044985861274916425,0.0229288847570732,0.13347788406164662,0.8174319455224948
36123,Yates County,2004,0.0683999892949709,0.06642161757107007,0.4475422694249958,0.46481236348514576,0.4663295954940062
53033,King County,2004,0.2229165268984882,0.15040506863503897,0.6199947310805702,0.7334990370313402,0.028781226938250554
41017,Deschutes County,2004,0.030617884292791078,0.02828356117249427,0.3922698865777797,0.9341991875417407,0.018520041895283133
19155,Pottawattamie County,2004,0.07571557279212326,0.06294821938332967,0.04504006127512245,0.07830422047367071,0.8453609601715353
29229,Wright County,2004,0.04264486439510457,0.04042003890644481,0.49298670857688043,0.5064211925573733,0.4503764638918969
30101,Toole County,2004,0.01551587881387711,0.015151324308120172,0.002817110237971681,0.4777819683352203,0.5024244853951476
36107,Tioga County,2004,0.06635238237638885,0.06321713843952553,0.6227133538192514,0.6351544255148244,0.295357277674931
48287,Lee County,2004,0.045322473783886215,0.0427605792617838,0.2753275324774193,0.33349588822549087,0.6190671371932029
13121,Fulton County,2004,0.47437107560802944,0.35560280901764796,0.4368478571814643,0.4682950654993626,0.05093354883021316
48073,Cherokee County,2004,0.054967361104882,0.05150663159758662,0.5385927651252018,0.6550243699542102,0.28858803099872793
