"GEO_ID","NAME","P009001","P009002","P009003","P009004","P009005","P009006","P009007"
"id","Label for GEO_ID","Total races tallied","Total races tallied!!White alone or in combination with one or more other races","Total races tallied!!Black or African American alone or in combination with one or more other races","Total races tallied!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied!!Asian alone or in combination with one or more other races","Total races tallied!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied!!Some other race alone or in combination with one or more other races"
"0500000US05057","Hempstead County, Arkansas","23997","15248","7302","275","69","15","1088"
"0500000US05059","Hot Spring County, Arkansas","30755","26852","3219","383","101","19","181"
"0500000US05061","Howard County, Arkansas","14426","10632","3156","131","81","4","422"
"0500000US05063","Independence County, Arkansas","34695","32908","775","433","274","22","283"
"0500000US05065","Izard County, Arkansas","13406","12915","203","198","23","10","57"
"0500000US05067","Jackson County, Arkansas","18608","15004","3268","141","55","6","134"
"0500000US05069","Jefferson County, Arkansas","84970","41333","42078","456","674","67","362"
"0500000US05071","Johnson County, Arkansas","23122","21635","352","323","108","12","692"
"0500000US05073","Lafayette County, Arkansas","8617","5360","3143","54","29","5","26"
"0500000US05075","Lawrence County, Arkansas","17969","17557","96","224","33","12","47"
"0500000US05077","Lee County, Arkansas","12645","5250","7223","40","45","8","79"
"0500000US05079","Lincoln County, Arkansas","14607","9502","4805","114","23","2","161"
"0500000US05081","Little River County, Arkansas","13863","10371","2944","339","43","6","160"
"0500000US05083","Logan County, Arkansas","22782","21970","271","361","63","7","110"
"0500000US05085","Lonoke County, Arkansas","53459","48618","3514","530","369","45","383"
"0500000US05087","Madison County, Arkansas","14404","13812","30","296","21","15","230"
"0500000US05089","Marion County, Arkansas","16359","15934","32","285","54","19","35"
"0500000US05091","Miller County, Arkansas","41067","30448","9458","544","200","17","400"
"0500000US05093","Mississippi County, Arkansas","52620","33950","17268","389","294","40","679"
"0500000US05095","Monroe County, Arkansas","10382","6180","4043","74","28","14","43"
"0500000US05097","Montgomery County, Arkansas","9366","8933","38","200","44","1","150"
"0500000US05099","Nevada County, Arkansas","10025","6714","3131","70","15","1","94"
"0500000US05101","Newton County, Arkansas","8725","8498","15","131","26","4","51"
"0500000US05103","Ouachita County, Arkansas","29040","17396","11227","199","102","14","102"
"0500000US05105","Perry County, Arkansas","10329","9873","194","176","25","3","58"
"0500000US05107","Phillips County, Arkansas","26682","10504","15714","159","117","19","169"
"0500000US05109","Pike County, Arkansas","11427","10518","416","146","28","5","314"
"0500000US05111","Poinsett County, Arkansas","25814","23478","1867","162","64","10","233"
"0500000US05113","Polk County, Arkansas","20572","19478","44","577","57","17","399"
"0500000US05115","Pope County, Arkansas","55271","51740","1549","827","458","31","666"
"0500000US05117","Prairie County, Arkansas","9612","8149","1331","76","21","1","34"
"0500000US05119","Pulaski County, Arkansas","367034","235359","117301","3278","5605","370","5121"
"0500000US05121","Randolph County, Arkansas","18433","17853","207","231","33","15","94"
"0500000US05123","St. Francis County, Arkansas","29747","14541","14478","146","195","15","372"
"0500000US05125","Saline County, Arkansas","84409","80379","1949","885","640","54","502"
"0500000US05127","Scott County, Arkansas","11143","10423","34","257","117","5","307"
"0500000US05129","Searcy County, Arkansas","8376","8145","7","146","23","3","52"
"0500000US05131","Sebastian County, Arkansas","118311","97472","7734","3511","4518","134","4942"
"0500000US05133","Sevier County, Arkansas","16024","12783","818","436","29","15","1943"
"0500000US05135","Sharp County, Arkansas","17360","16860","99","307","30","4","60"
"0500000US05137","Stone County, Arkansas","11704","11370","27","242","26","12","27"
"0500000US05139","Union County, Arkansas","46051","30453","14757","294","255","30","262"
"0500000US05141","Van Buren County, Arkansas","16444","15903","72","284","60","18","107"
"0500000US05143","Washington County, Arkansas","161340","141782","4105","3651","2960","1179","7663"
"0500000US05145","White County, Arkansas","68081","63656","2589","789","287","50","710"
"0500000US05147","Woodruff County, Arkansas","8813","5987","2723","64","9","10","20"
"0500000US05149","Yell County, Arkansas","21495","18621","338","286","192","26","2032"
"0500000US06001","Alameda County, California","1532394","766316","233484","23177","326949","17548","164920"
"0500000US06003","Alpine County, California","1272","931","14","277","18","7","25"
"0500000US06005","Amador County, California","35993","30889","1433","1046","513","86","2026"
"0500000US06007","Butte County, California","211683","178739","3873","7271","8349","695","12756"
"0500000US06009","Calaveras County, California","41959","38223","425","1418","551","120","1222"
"0500000US06011","Colusa County, California","19687","12812","131","619","352","135","5638"
"0500000US06013","Contra Costa County, California","1001662","661457","97879","14926","121969","7221","98210"
"0500000US06015","Del Norte County, California","28692","22725","1267","2500","813","77","1310"
"0500000US06017","El Dorado County, California","161253","144481","1260","3379","4591","483","7059"
"0500000US06019","Fresno County, California","838989","463687","47153","20449","73403","2539","231758"
"0500000US06021","Glenn County, California","27515","19912","222","865","1027","74","5415"
"0500000US06023","Humboldt County, California","132522","112350","1781","10450","2954","535","4452"
"0500000US06025","Imperial County, California","147765","74568","6062","3458","3766","229","59682"
"0500000US06027","Inyo County, California","18711","15037","66","2153","228","36","1191"
"0500000US06029","Kern County, California","690585","430745","43735","17399","27500","1878","169328"
"0500000US06031","Kings County, California","135992","74887","11508","3260","5211","524","40602"
"0500000US06033","Lake County, California","60473","52135","1541","2780","754","218","3045"
"0500000US06035","Lassen County, California","34800","28169","3081","1572","382","194","1402"
"0500000US06037","Los Angeles County, California","10014221","5022646","999747","138696","1245019","49514","2558599"
"0500000US06039","Madera County, California","129893","82108","5728","4969","2361","457","34270"
