"","combined_FIPS","NAMELSAD","total_dev","avg_dem_change","avg_rep_change"
"1491",29085,"Hickory County",0.000202069078005948,-0.0619115726068605,0.0593206039945831
"1492",29087,"Holt County",0.000769723757306155,-0.0449628809014502,0.0412354582302469
"1493",29089,"Howard County",0.000185776112934216,-0.0418232836238396,0.0345385008187789
"1494",29091,"Howell County",0.00134669970617873,-0.041170144187057,0.0388054795050251
"1495",29093,"Iron County",0.000257149233338971,-0.0611299223291635,0.0591172113305022
"1496",29095,"Jackson County",0.0279338416786514,-0.0446300703504443,0.0361472659940859
"1497",29097,"Jasper County",0.00848468255060664,-0.0235952751673148,0.0153465988798366
"1498",29099,"Jefferson County",0.0163335421487849,-0.0507592974273912,0.0434012828389487
"1499",29101,"Johnson County",0.00199116760216842,-0.0329910225908858,0.0232204129287059
"1500",29103,"Knox County",0.000124836054227286,-0.04507364325956,0.0401563943427404
"1501",29105,"Laclede County",0.00101796275666642,-0.0403947916839083,0.0366678278180695
"1502",29107,"Lafayette County",0.00141705782476085,-0.0453886811841357,0.0378872860745155
"1503",29109,"Lawrence County",0.00118844699038551,-0.0386653895518852,0.0348550839394401
"1504",29111,"Lewis County",0.000251948924623727,-0.0603886629820451,0.0544721547348882
"1505",29113,"Lincoln County",0.00496925251376935,-0.0535254024752702,0.0475580099120109
"1506",29115,"Linn County",0.000219712404172616,-0.054580606214748,0.0478996880981432
"1507",29117,"Livingston County",0.000875171179323481,-0.0473456988000158,0.0422172434220132
"1508",29119,"McDonald County",0.00261639001212962,-0.0311386343102762,0.02938725973815
"1509",29121,"Macon County",0.000526956190558016,-0.0473725726684976,0.0427416907344322
"1510",29123,"Madison County",0.000596097237682086,-0.0572863485949149,0.0520912118420887
"1511",29125,"Maries County",0.00013350668896947,-0.0566932479963098,0.054086576716831
"1512",29127,"Marion County",0.00186956575542267,-0.048725886072247,0.0421887617975431
"1513",29129,"Mercer County",8.60850166824814e-05,-0.0443801741597678,0.0432414312336473
"1514",29131,"Miller County",0.00113763341059575,-0.0476374749719347,0.0444777613112774
"1515",29133,"Mississippi County",0.00048919802290609,-0.0616023469065806,0.0593018765347737
"1516",29135,"Moniteau County",0.000906966700416803,-0.0444167866656849,0.0405649087061953
"1517",29137,"Monroe County",0.000298979582175771,-0.0622694929503163,0.0572101511966384
"1518",29139,"Montgomery County",0.000739915103153257,-0.0470945940336826,0.0436176560274237
"1519",29141,"Morgan County",0.000841795070628336,-0.052512528319701,0.0501087476231619
"1520",29143,"New Madrid County",0.00153208959301941,-0.0629269752922976,0.0615474285169538
"1521",29145,"Newton County",0.00556340696895427,-0.0292745409969859,0.0249921749254859
"1522",29147,"Nodaway County",0.000525375028135343,-0.0313118468208647,0.0260554885023553
"1523",29149,"Oregon County",5.33940788908852e-05,-0.0462796672855037,0.0477148652070857
"1524",29151,"Osage County",0.000692724356336341,-0.0432330289790288,0.0383915399335464
"1525",29153,"Ozark County",0.000403822452518146,-0.0432334167379519,0.0468281204584737
"1526",29155,"Pemiscot County",0.00100199162968054,-0.0531080640418447,0.050977901423791
"1527",29157,"Perry County",0.00126575311467297,-0.0320323866749806,0.0285765383736916
"1528",29159,"Pettis County",0.00207626021931528,-0.0332195309011685,0.0255567999242164
"1529",29161,"Phelps County",0.00209167125499231,-0.0327375794164243,0.0250244596400966
"1530",29163,"Pike County",0.000745565697835786,-0.0598076494199345,0.0545453796605338
"1531",29165,"Platte County",0.015037378087695,-0.00993277518629615,0.00205778996121647
"1532",29167,"Polk County",0.00125633898553013,-0.0397841073259934,0.0334436300513222
"1533",29169,"Pulaski County",0.00756526676733568,-0.0360506039447677,0.0280093452274947
"1534",29171,"Putnam County",0.000536003474492605,-0.0382182547770421,0.0356787903492681
"1535",29173,"Ralls County",0.000548913173128197,-0.0578742179795345,0.0537934295313204
"1536",29175,"Randolph County",0.00205320200581532,-0.0566540438655854,0.0507521325000443
"1537",29177,"Ray County",0.00116090294018843,-0.0564014247177295,0.0475443359558236
"1538",29179,"Reynolds County",0.000114078486688346,-0.0592038795716306,0.057302224626676
"1539",29181,"Ripley County",0.00011065043852472,-0.052268821754555,0.0506050417705241
