"","combined_FIPS","pct_council_dem_change"
"293",42133,0
"294",45001,NA
"295",45003,NA
"296",45005,NA
"297",45007,NA
"298",45009,NA
"299",45011,NA
"300",45013,NA
"301",45015,NA
"302",45017,NA
"303",45019,0.333333334
"304",45021,NA
"305",45023,NA
"306",45025,NA
"307",45027,NA
"308",45029,NA
"309",45031,NA
"310",45033,NA
"311",45035,NA
"312",45037,NA
"313",45039,NA
"314",45041,NA
"315",45043,NA
"316",45045,NA
"317",45047,NA
"318",45049,NA
"319",45051,NA
"320",45053,NA
"321",45055,NA
"322",45057,NA
"323",45059,NA
"324",45061,NA
"325",45063,NA
"326",45065,NA
"327",45067,NA
"328",45069,NA
"329",45071,NA
"330",45073,NA
"331",45075,NA
"332",45077,NA
"333",45079,NA
"334",45081,NA
"335",45083,NA
"336",45085,NA
"337",45087,NA
"338",45089,NA
"339",45091,NA
"340",46099,0
"341",47065,-0.222222222
"342",47157,0.076923076
"343",48029,0.2
"344",48039,0.2
"345",48041,0
"346",48113,0.4
"347",48141,0
"348",48157,0.2
"349",48167,-0.6
"350",48201,-0.2
"351",48209,0
"352",48339,0
"353",48381,0
"354",48439,0
"355",48453,0
"356",48491,0
"357",49011,0
"358",49035,0.444444444
"359",49049,0
"360",49057,0
"361",51013,0
"362",51041,0
"363",51059,0
"364",51087,0.2
"365",51107,-0.222222223
"366",51153,0
"367",53005,0
"368",53011,-0.666666667
"369",53033,0
"370",53053,-0.142857143
"371",53057,0.666666667
"372",53061,0
"373",53063,-0.333333333
"374",53067,0.333333333
"375",53077,NA
"376",6037,0
"377",6041,NA
"378",6073,0.2
"379",6085,0.2
"380",8001,0.333333334
"381",8005,0.2
"382",8013,0
"383",8035,0
"384",8041,0
"385",8059,0.333333333
"386",8069,-0.333333333
"387",8077,-0.333333333
"388",8101,0
"389",8123,0
"390",10001,0.285714285
"391",10003,0.131868132
"392",10005,-0.4
