county_fips,pct_avg_dem_gov_change,pct_avg_dem_sen_change
48107,-0.6200000000000003,-0.2500000000000006
48109,1.3,2.6833333333333336
48111,-0.8,-0.5500000000000002
48113,4.780000000000001,4.616666666666666
48115,0.8800000000000004,0.26666666666666633
48123,-0.6999999999999996,-0.566666666666667
48117,1.3,1
48119,-4.12,-2.6166666666666667
48121,3.7800000000000002,4.066666666666666
48125,-5.08,-2.5833333333333335
48127,-0.019999999999998862,1.2166666666666661
48129,-1.5400000000000003,-0.6
48131,-3.0999999999999988,-1.6499999999999986
48133,-2.68,-1.9000000000000001
48135,-0.12000000000000029,0.9166666666666666
48137,-1.98,-0.05000000000000012
48141,3.520000000000002,4.166666666666668
48139,0.43999999999999984,1.3500000000000003
48143,-1.9,-0.31666666666666704
48145,-2.1799999999999997,-1.1000000000000003
48147,-4.160000000000001,-2.266666666666667
48149,-1.3,-0.2833333333333332
48151,-4.72,-3.6166666666666667
48153,0.37999999999999934,0.7833333333333332
48155,-5.28,-2.8166666666666664
48157,4.44,3.6666666666666665
48159,-2.88,-1.7166666666666661
48161,-2.9799999999999995,-1.9833333333333332
48163,0.8200000000000003,0.7833333333333327
48165,-1.22,-1.0666666666666664
48167,-0.5199999999999989,0.43333333333333357
48169,-1.8199999999999998,-0.8833333333333334
48171,0.8399999999999999,1.4166666666666667
48173,-0.31999999999999995,0.1333333333333333
48175,-1.6,-1.7499999999999993
48177,-0.6,-0.05000000000000012
48179,-1.2399999999999998,-0.7166666666666665
48181,-1.2200000000000002,-0.11666666666666714
48183,0.5200000000000002,1.0333333333333332
48185,-1.9600000000000002,-1.066666666666667
48187,2.2600000000000002,2.4999999999999996
48189,1.02,0.8833333333333334
48191,-3.9199999999999995,-2.233333333333333
48193,-2.9000000000000004,-1.45
48195,-0.38000000000000006,0
48197,-4.199999999999999,-2.683333333333333
48199,-3.5000000000000004,-2.816666666666667
48201,3.6,3.383333333333333
48203,-1.939999999999999,-1.0166666666666668
48205,-1.96,-0.9333333333333332
48207,-4.2,-3.116666666666667
48209,4.140000000000001,4.966666666666668
48211,-0.7600000000000001,-0.4000000000000001
48213,-2.5,-1.5833333333333333
48215,3.12,2.599999999999999
48217,-2.3200000000000003,-1.05
48219,-0.12000000000000029,0.26666666666666633
48221,-1.58,-0.6833333333333336
48223,-2.6,-1.25
48225,-2.5800000000000005,-1.0333333333333332
48227,-1,-0.566666666666667
