STATEFP,COUNTYFP,NAMELSAD,pct_sub_2013,pct_urban_2013,pct_forest_2013,pct_agri_2013,unique
28,043,Grenada County,0.05586759784484625,0.0013809933254566712,0.47221775465640636,0.19604074007633351,15
21,213,Simpson County,0.0736568763171121,0.0020515352714169407,0.12176361493447138,0.7937119562182386,15
50,013,Grand Isle County,0.037784733617717274,0.0004106842177626281,0.0681682233979298,0.19666417280163417,16
39,029,Columbiana County,0.11307646218610812,0.00386723385230039,0.46175266079465777,0.3911085463853613,15
51,125,Nelson County,0.05122104211030781,0.00016121302542622526,0.7707550778439077,0.12672882650107647,15
12,097,Osceola County,0.08163239406428169,0.0023150418186588264,0.058958690359637925,0.32783627234195334,15
05,053,Grant County,0.053060207287276936,0.0006746360451067478,0.5138025923809493,0.05458349046479624,15
13,175,Laurens County,0.06407277964017757,0.0016201179934991492,0.4113668938907626,0.1875312051028622,15
36,061,New York County,0.2617134177007318,0.3653046771561413,0.034886227176155436,0.0018679886278494524,15
36,021,Columbia County,0.07496873309670733,0.0019513335273945247,0.5708433245362501,0.24474922415729464,15
51,690,Martinsville city,0.5871232444374309,0.03982957235284835,0.33978223133975066,0.012718952185576771,13
20,041,Dickinson County,0.04467035636190991,0.0005628763470793448,0.04835434126540313,0.5545567899406655,15
13,103,Effingham County,0.06962029415383818,0.002021327196673193,0.31138081329456185,0.08707322040094094,15
40,129,Roger Mills County,0.027823994155973076,0.00019156768750217863,0.010363448157752354,0.09256508224225128,15
55,103,Richland County,0.04731129408032418,0.00037385315826312775,0.4911575472638253,0.421239930583606,15
35,025,Lea County,0.022534600752579268,0.0005192573962946039,0.0,0.02607388510091835,12
01,075,Lamar County,0.05020515148610715,0.00030992251363228614,0.5751455918400846,0.07822272064904662,15
42,041,Cumberland County,0.18343842783840408,0.011842233215083597,0.3660989079685335,0.4127265172821841,15
42,055,Franklin County,0.10799631691772052,0.004444696217647143,0.4131638719841167,0.4568114542420188,15
42,079,Luzerne County,0.12061091599809132,0.010509636230569889,0.6766615420730668,0.1034005667739149,15
26,039,Crawford County,0.07814356371514262,0.0007741628246394745,0.5788782473200396,0.0028795155899737587,15
01,113,Russell County,0.06334783563485556,0.0022341383426140544,0.5832362844255161,0.10590438575155588,15
39,019,Carroll County,0.06831039712065531,0.0008501453347839229,0.5527573540620135,0.340351677948223,15
